###Data
Date,Open,High,Low,Close,Adj Close,Volume
1986-04-01,0.095486,0.121962,0.092882,0.111979,0.070695,547142400
1986-05-01,0.111979,0.123264,0.107639,0.121528,0.076723,333446400
1986-06-01,0.121528,0.121528,0.102431,0.106771,0.067407,293788800
1986-07-01,0.106771,0.109375,0.090278,0.098958,0.062474,460800000
1986-08-01,0.098958,0.106771,0.094618,0.098958,0.062474,266256000
1986-09-01,0.098958,0.109375,0.091146,0.098090,0.061926,285120000
1986-10-01,0.098090,0.139757,0.095486,0.134549,0.084944,1565712000
1986-11-01,0.135417,0.177951,0.135417,0.172743,0.109056,1053964800
1986-12-01,0.172743,0.173611,0.157118,0.167535,0.105768,721526400
1987-01-01,0.167535,0.269097,0.164931,0.253906,0.160296,1961596800
1987-02-01,0.253906,0.276042,0.230903,0.266493,0.168243,1834272000
1987-03-01,0.266493,0.343750,0.255208,0.335938,0.212085,1783324800
1987-04-01,0.335938,0.378472,0.314236,0.361111,0.227977,2118585600
1987-05-01,0.361111,0.445313,0.356771,0.400174,0.252639,2192054400
1987-06-01,0.400174,0.400174,0.334201,0.354167,0.223593,1729353600
1987-07-01,0.353299,0.367188,0.307292,0.326389,0.206056,1813536000
1987-08-01,0.326389,0.421007,0.316840,0.412326,0.260310,2034921600
1987-09-01,0.409722,0.462674,0.368056,0.460069,0.290451,1554912000
1987-10-01,0.460069,0.550347,0.258681,0.345486,0.218113,3567225600
1987-11-01,0.342014,0.361111,0.281250,0.310764,0.196192,1550188800
1987-12-01,0.309028,0.388889,0.277778,0.376736,0.237842,1780200000
1988-01-01,0.380208,0.428819,0.364583,0.387153,0.244418,1966795200
1988-02-01,0.394097,0.421875,0.345486,0.412326,0.260310,1403899200
1988-03-01,0.414931,0.454861,0.376736,0.392361,0.247706,2113675200
1988-04-01,0.388889,0.407986,0.366319,0.378472,0.238938,1155096000
1988-05-01,0.378472,0.411458,0.371528,0.402778,0.254282,1033012800
1988-06-01,0.404514,0.468750,0.401042,0.465278,0.293740,1198598400
1988-07-01,0.465278,0.489583,0.394097,0.413194,0.260858,1401105600
1988-08-01,0.414931,0.416667,0.331597,0.347222,0.219209,1862596800
1988-09-01,0.343750,0.383681,0.333333,0.362847,0.229073,1216584000
1988-10-01,0.355903,0.375000,0.331597,0.340278,0.214825,1532102400
1988-11-01,0.340278,0.350694,0.314236,0.328125,0.207152,1558929600
1988-12-01,0.329861,0.376736,0.326389,0.369792,0.233458,1030464000
1989-01-01,0.371528,0.418403,0.348958,0.414063,0.261407,1375084800
1989-02-01,0.413194,0.449653,0.406250,0.413194,0.260858,1802145600
1989-03-01,0.416667,0.432292,0.317708,0.346354,0.218661,3058704000
1989-04-01,0.347222,0.392361,0.329861,0.388021,0.244966,1134820800
1989-05-01,0.384549,0.423611,0.354167,0.420139,0.265243,1258977600
1989-06-01,0.418403,0.421875,0.355903,0.368056,0.232362,1072584000
1989-07-01,0.368924,0.395833,0.357639,0.380208,0.240034,1221019200
1989-08-01,0.380208,0.420139,0.375000,0.407986,0.257570,1380729600
1989-09-01,0.409722,0.482639,0.401042,0.475694,0.300316,1284523200
1989-10-01,0.473958,0.597222,0.472222,0.567708,0.358406,2608992000
1989-11-01,0.567708,0.619792,0.527778,0.604167,0.381424,1835870400
1989-12-01,0.605035,0.612847,0.520833,0.604167,0.381424,1460664000
